name,mixed_garbage,burnable_garbage,non_burnable_garbage,recyclable_garbage,other_garbage,oversized_garbage
北海道,19318,382564,37550,42593,13672,28161
青森県,0,124334,9199,4232,18,2249
岩手県,3968,107963,4460,2053,55,1588
宮城県,0,193861,5902,4350,110,30135
秋田県,35514,62122,3851,2599,898,4967
山形県,0,93663,2216,1316,430,2048
福島県,0,192584,1694,1019,18,4497
茨城県,15513,203930,4968,35819,547,2506
栃木県,0,150626,3173,5896,7,2085
群馬県,0,146355,4770,4258,0,1482
埼玉県,40937,437111,3569,7892,98,1131
千葉県,0,453383,4924,50932,8421,7752
東京都,0,878069,401,1813,25,276
神奈川県,94980,505085,4018,11924,390,1525
新潟県,0,223105,9480,17712,22,1299
富山県,0,92058,3226,35965,25,1150
石川県,0,100475,15797,8243,484,6708
福井県,0,60932,4432,654,329,1820
山梨県,0,71793,1209,1882,0,672
長野県,2,174846,3331,4231,1746,272
岐阜県,0,163669,7151,6904,676,3067
静岡県,0,288719,2177,13393,1898,3641
愛知県,0,535815,16262,84835,1530,6435
三重県,300,155209,2542,550,1054,1270
滋賀県,0,99099,2310,3536,216,651
京都府,0,219719,3617,2909,387,22729
大阪府,619940,477047,2062,11261,501,15787
兵庫県,8361,514737,11915,18246,1423,15071
奈良県,0,112723,1018,854,632,435
和歌山県,33024,38472,3210,1729,303,4020
鳥取県,0,53000,418,31294,346,1004
島根県,0,57587,6469,8670,36,127
岡山県,0,218181,3098,580,0,2192
広島県,0,289984,9788,4557,17,12842
山口県,179,133461,3979,3921,145,13894
徳島県,0,60338,493,223,1,249
香川県,0,87504,5835,479,15,25
愛媛県,0,105199,2163,4456,0,2328
高知県,7142,59056,170,325,308,459
福岡県,157237,331718,23415,64613,1198,14003
佐賀県,0,67891,544,6367,0,1791
長崎県,0,138219,6570,4528,1,1377
熊本県,0,158837,3020,11038,75,326
大分県,0,119084,2993,992,5,1687
宮崎県,0,95745,1683,16801,36,678
鹿児島県,4688,132784,7995,10956,41,8742
沖縄県,0,139379,1559,6510,1079,835