都道府県名,合計,生活系ごみ搬入量_合計,生活系ごみ_混合ごみ,生活系ごみ_可燃ごみ,生活系ごみ_不燃ごみ,生活系ごみ_資源ごみ,生活系ごみ_その他のごみ,生活系ごみ_粗大ごみ,事業系ごみ搬入量_合計,事業系ごみ_混合ごみ,事業系ごみ_可燃ごみ,事業系ごみ_不燃ごみ,事業系ごみ_資源ごみ,事業系ごみ_その他のごみ,事業系ごみ_粗大ごみ
北海道,1701941,1178083,33238,712045,105722,277199,8776,41103,523858,19318,382564,37550,42593,13672,28161
青森県,448926,308894,0,246216,19313,33125,100,10140,140032,0,124334,9199,4232,18,2249
岩手県,391480,271393,5886,205855,13269,38963,74,7346,120087,3968,107963,4460,2053,55,1588
宮城県,785448,551090,0,434750,9710,90363,423,15844,234358,0,193861,5902,4350,110,30135
秋田県,347030,237079,57289,135299,5962,31635,39,6855,109951,35514,62122,3851,2599,898,4967
山形県,338279,238606,0,194666,13686,24980,365,4909,99673,0,93663,2216,1316,430,2048
福島県,694552,494740,0,399021,25763,59260,127,10569,199812,0,192584,1694,1019,18,4497
茨城県,1009937,746654,7658,591290,43335,79717,594,24060,263283,15513,203930,4968,35819,547,2506
栃木県,644959,483172,0,379291,22212,69408,467,11794,161787,0,150626,3173,5896,7,2085
群馬県,685996,529131,0,437901,22409,50432,2089,16300,156865,0,146355,4770,4258,0,1482
埼玉県,2243797,1753059,113186,1212408,93771,285275,2201,46218,490738,40937,437111,3569,7892,98,1131
千葉県,1981322,1455910,0,1085607,75421,229629,10406,54847,525412,0,453383,4924,50932,8421,7752
東京都,4021715,3141131,0,2308576,94655,627813,1982,108105,880584,0,878069,401,1813,25,276
神奈川県,2579380,1961458,374249,1080640,35556,409142,807,61064,617922,94980,505085,4018,11924,390,1525
新潟県,795268,543650,1,371941,25454,127911,843,17500,251618,0,223105,9480,17712,22,1299
富山県,379067,246643,0,197159,15694,29503,938,3349,132424,0,92058,3226,35965,25,1150
石川県,372199,240492,0,183983,10420,31644,1363,13082,131707,0,100475,15797,8243,484,6708
福井県,255278,187111,0,142284,17953,17673,132,9069,68167,0,60932,4432,654,329,1820
山梨県,284997,209441,0,162667,14102,25799,133,6740,75556,0,71793,1209,1882,0,672
長野県,597926,413498,8,300264,20407,87430,506,4883,184428,2,174846,3331,4231,1746,272
岐阜県,615753,434286,390,347208,22574,40462,2371,21281,181467,0,163669,7151,6904,676,3067
静岡県,1121225,811397,0,669408,26068,94954,818,20149,309828,0,288719,2177,13393,1898,3641
愛知県,2365276,1720399,24,1317359,87831,254644,5223,55318,644877,0,535815,16262,84835,1530,6435
三重県,611231,450306,1102,352430,23522,55806,5329,12117,160925,300,155209,2542,550,1054,1270
滋賀県,412905,307093,838,232934,17642,41283,814,13582,105812,0,99099,2310,3536,216,651
京都府,696730,447369,184401,172448,24612,51792,1817,12299,249361,0,219719,3617,2909,387,22729
大阪府,2788802,1662204,634539,696678,23873,201419,1554,104141,1126598,619940,477047,2062,11261,501,15787
兵庫県,1715686,1145933,17099,893938,50230,124133,1567,58966,569753,8361,514737,11915,18246,1423,15071
奈良県,405789,290127,0,224604,18244,31549,2267,13463,115662,0,112723,1018,854,632,435
和歌山県,316236,235478,72627,110751,7190,27487,609,16814,80758,33024,38472,3210,1729,303,4020
鳥取県,198852,112790,14,88830,6016,15489,104,2337,86062,0,53000,418,31294,346,1004
島根県,232145,159256,5613,120126,9776,21152,128,2461,72889,0,57587,6469,8670,36,127
岡山県,617891,393840,0,326200,13179,37203,172,17086,224051,0,218181,3098,580,0,2192
広島県,886799,569611,0,403178,25333,105799,863,34438,317188,0,289984,9788,4557,17,12842
山口県,478358,322779,548,240496,15758,55449,1331,9197,155579,179,133461,3979,3921,145,13894
徳島県,252350,191046,0,135609,17074,30040,1227,7096,61304,0,60338,493,223,1,249
香川県,301088,207230,0,144658,17161,41578,203,3630,93858,0,87504,5835,479,15,25
愛媛県,432469,318323,0,242276,14345,44174,424,17104,114146,0,105199,2163,4456,0,2328
高知県,245010,177550,25069,112484,7470,23112,492,8923,67460,7142,59056,170,325,308,459
福岡県,1704868,1112684,157328,777682,42494,93355,334,41491,592184,157237,331718,23415,64613,1198,14003
佐賀県,261351,184758,0,145443,10450,16228,289,12348,76593,0,67891,544,6367,0,1791
長崎県,461703,311008,0,256081,17258,31629,1885,4155,150695,0,138219,6570,4528,1,1377
熊本県,550570,377274,0,291581,13200,65473,50,6970,173296,0,158837,3020,11038,75,326
大分県,392166,267405,0,204745,14707,40975,29,6949,124761,0,119084,2993,992,5,1687
宮崎県,382903,267960,18,195201,15830,46863,1301,8747,114943,0,95745,1683,16801,36,678
鹿児島県,541538,376332,1542,280704,16715,61969,963,14439,165206,4688,132784,7995,10956,41,8742
沖縄県,476920,327558,0,250063,11434,52084,1683,12294,149362,0,139379,1559,6510,1079,835