"prefectures","totalEmissions","dailyEmissions","recyclingRate"
北海道,1810945,949,21.2
青森県,457849,993,12.8
岩手県,405527,908,16.1
宮城県,814327,977,15.5
秋田県,350545,987,14.5
山形県,351454,901,13.3
福島県,710449,1033,13.2
茨城県,1026729,969,17.6
栃木県,661148,925,15.8
群馬県,708460,990,13.2
埼玉県,2324484,861,21.0
千葉県,2061897,894,21.4
東京都,4242734,839,21.1
神奈川県,2819079,837,24.7
新潟県,820134,1016,21.1
富山県,397704,1039,22.2
石川県,377643,913,13.7
福井県,265495,938,13.4
山梨県,291457,972,17.2
長野県,610650,807,20.2
岐阜県,634466,878,14.1
静岡県,1156091,858,17.5
愛知県,2469354,895,21.5
三重県,622282,947,16.1
滋賀県,425971,822,15.3
京都府,743452,785,13.8
大阪府,2950844,915,13.3
兵庫県,1814640,901,14.6
奈良県,433912,883,15.8
和歌山県,323712,938,13.1
鳥取県,202597,995,24.5
島根県,232553,946,18.4
岡山県,642895,931,21.8
広島県,900920,877,12.8
山口県,486523,982,24.4
徳島県,257335,958,16.2
香川県,302525,850,16.5
愛媛県,439521,886,15.1
高知県,245470,958,13.4
福岡県,1768645,946,15.5
佐賀県,264812,886,16.8
長崎県,474606,972,13.2
熊本県,566015,881,16.1
大分県,395733,950,14.5
宮崎県,384489,968,16.9
鹿児島県,543966,921,14.8
沖縄県,477063,881,15.8