name,totalRank,dailyRank,recyclingRank
北海道,8,17,7
青森県,28,5,42
岩手県,32,28,25
宮城県,14,9,36
秋田県,38,7,39
山形県,37,30,45
福島県,16,2,46
茨城県,11,12,17
栃木県,18,24,34
群馬県,17,6,40
埼玉県,5,40,5
千葉県,6,32,10
東京都,1,43,6
神奈川県,3,44,3
新潟県,13,3,11
富山県,33,1,8
石川県,36,27,38
福井県,42,22,43
山梨県,41,11,26
長野県,22,46,14
岐阜県,20,38,31
静岡県,10,41,23
愛知県,4,31,9
三重県,21,18,18
滋賀県,31,45,24
京都府,15,47,41
大阪府,2,26,44
兵庫県,7,29,37
奈良県,30,35,35
和歌山県,39,21,47
鳥取県,47,4,2
島根県,46,20,16
岡山県,19,23,4
広島県,12,39,20
山口県,25,8,1
徳島県,44,15,30
香川県,40,42,21
愛媛県,29,33,28
高知県,45,14,13
福岡県,9,19,15
佐賀県,43,34,19
長崎県,27,10,33
熊本県,23,36,12
大分県,34,16,22
宮崎県,35,13,27
鹿児島県,24,25,32
沖縄県,26,37,29