都道府県,事業系ごみ_混合ごみ,事業系ごみ_可燃ごみ,事業系ごみ_不燃ごみ,事業系ごみ_資源ごみ,事業系ごみその他のごみ,事業系ごみ_粗大ごみ,総量,一日あたり,リサイクル率,生活系ごみ_混合ごみ,生活系ごみ_可燃ごみ,生活系ごみ_不燃ごみ,生活系ごみ_資源ごみ,生活系ごみ_その他のごみ,生活系ごみ_粗大ごみ
北海道,普通,少し低い,高い,普通,高い,高い,8,17,7,普通,少し低い,高い,高い,高い,普通
青森県,普通,普通,高い,普通,少し低い,普通,28,5,42,普通,少し高い,少し高い,少し低い,少し低い,普通
岩手県,普通,普通,普通,少し低い,普通,普通,32,28,25,普通,普通,普通,普通,少し低い,少し低い
宮城県,普通,普通,普通,普通,普通,高い,14,9,36,普通,少し高い,少し低い,少し高い,少し低い,普通
秋田県,高い,少し低い,普通,普通,高い,少し高い,38,7,39,高い,少し低い,少し低い,普通,少し低い,普通
山形県,普通,少し高い,普通,少し低い,普通,普通,37,30,45,普通,少し高い,普通,少し低い,普通,少し低い
福島県,普通,少し高い,少し低い,少し低い,少し低い,普通,16,2,46,普通,少し高い,普通,少し低い,少し低い,少し低い
茨城県,普通,少し低い,普通,高い,普通,普通,11,12,17,普通,少し高い,普通,少し低い,少し低い,普通
栃木県,普通,少し高い,普通,普通,少し低い,普通,18,24,34,普通,少し高い,普通,普通,少し低い,少し低い
群馬県,普通,少し高い,普通,普通,少し低い,普通,17,6,40,普通,少し高い,普通,少し低い,少し高い,普通
埼玉県,普通,普通,少し低い,少し低い,少し低い,少し低い,5,40,5,普通,普通,普通,少し高い,普通,少し低い
千葉県,普通,普通,少し低い,少し高い,高い,普通,6,32,10,普通,普通,普通,普通,高い,普通
東京都,普通,高い,少し低い,少し低い,少し低い,少し低い,1,43,6,普通,普通,少し低い,高い,少し低い,普通
神奈川県,少し高い,普通,少し低い,普通,普通,少し低い,3,44,3,高い,少し低い,少し低い,高い,少し低い,普通
新潟県,普通,普通,普通,普通,少し低い,少し低い,13,3,11,普通,普通,普通,高い,普通,普通
富山県,普通,少し低い,普通,高い,少し低い,普通,33,1,8,普通,少し高い,少し高い,少し低い,普通,少し低い
石川県,普通,少し低い,高い,普通,普通,高い,36,27,38,普通,普通,普通,普通,高い,高い
福井県,普通,普通,高い,少し低い,普通,普通,42,22,43,普通,普通,高い,少し低い,少し低い,少し高い
山梨県,普通,少し高い,普通,普通,少し低い,普通,41,11,26,普通,普通,少し高い,普通,少し低い,普通
長野県,普通,少し高い,普通,普通,高い,少し低い,22,46,14,普通,普通,普通,高い,少し低い,少し低い
岐阜県,普通,普通,普通,普通,普通,普通,20,38,31,普通,少し高い,普通,少し低い,高い,少し高い
静岡県,普通,少し高い,少し低い,普通,少し高い,普通,10,41,23,普通,少し高い,少し低い,少し低い,少し低い,少し低い
愛知県,普通,普通,普通,高い,普通,普通,4,31,9,普通,普通,普通,普通,普通,普通
三重県,普通,少し高い,普通,少し低い,少し高い,少し低い,21,18,18,普通,少し高い,普通,普通,高い,少し低い
滋賀県,普通,少し高い,普通,普通,普通,少し低い,31,45,24,普通,普通,普通,普通,普通,少し高い
京都府,普通,普通,少し低い,少し低い,普通,高い,15,47,41,高い,少し低い,普通,少し低い,少し高い,少し低い
大阪府,高い,少し低い,少し低い,少し低い,普通,普通,2,26,44,高い,少し低い,少し低い,少し低い,少し低い,高い
兵庫県,普通,普通,普通,普通,普通,普通,7,29,37,普通,少し高い,普通,少し低い,普通,高い
奈良県,普通,少し高い,少し低い,少し低い,少し高い,少し低い,30,35,35,普通,普通,少し高い,少し低い,高い,少し高い
和歌山県,高い,少し低い,少し高い,普通,普通,高い,39,21,47,高い,少し低い,少し低い,少し低い,普通,高い
鳥取県,普通,少し低い,少し低い,高い,普通,普通,47,4,2,普通,少し高い,普通,普通,少し低い,少し低い
島根県,普通,普通,高い,少し高い,普通,少し低い,46,20,16,普通,普通,少し高い,普通,少し低い,少し低い
岡山県,普通,少し高い,少し低い,少し低い,少し低い,普通,19,23,4,普通,少し高い,少し低い,少し低い,少し低い,少し高い
広島県,普通,普通,普通,少し低い,少し低い,少し高い,12,39,20,普通,普通,普通,高い,普通,高い
山口県,普通,普通,普通,普通,普通,高い,25,8,1,普通,普通,普通,少し高い,少し高い,普通
徳島県,普通,少し高い,少し低い,少し低い,少し低い,少し低い,44,15,30,普通,普通,高い,普通,高い,普通
香川県,普通,少し高い,高い,少し低い,少し低い,少し低い,40,42,21,普通,普通,高い,高い,少し低い,少し低い
愛媛県,普通,少し高い,普通,普通,少し低い,普通,29,33,28,普通,普通,普通,普通,普通,高い
高知県,少し高い,普通,少し低い,少し低い,普通,少し低い,45,14,13,少し高い,少し低い,普通,普通,普通,高い
福岡県,高い,少し低い,普通,少し高い,普通,普通,9,19,15,少し高い,普通,少し低い,少し低い,少し低い,普通
佐賀県,普通,普通,少し低い,普通,少し低い,普通,43,34,19,普通,少し高い,普通,少し低い,普通,高い
長崎県,普通,普通,少し高い,普通,少し低い,普通,27,10,33,普通,少し高い,普通,少し低い,高い,少し低い
熊本県,普通,普通,普通,普通,少し低い,少し低い,23,36,12,普通,普通,少し低い,少し高い,少し低い,少し低い
大分県,普通,少し高い,普通,少し低い,少し低い,普通,34,16,22,普通,普通,普通,普通,少し低い,少し低い
宮崎県,普通,普通,少し低い,高い,少し低い,少し低い,35,13,27,普通,普通,少し高い,少し高い,少し高い,普通
鹿児島県,普通,普通,少し高い,普通,少し低い,高い,24,25,32,普通,普通,普通,少し高い,普通,普通
沖縄県,普通,少し高い,少し低い,普通,少し高い,少し低い,26,37,29,普通,普通,少し低い,普通,少し高い,普通