factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste,resource_recovery,waste_for_processing,processing_method,facility_changes,industrial_waste_transport,reuse_and_repair_features
bulky_waste,上尾市西貝塚環境センター,"[139.554123, 35.937237]",埼玉県上尾市西貝塚,上尾市(埼玉県),1503.33,512.77,無し,512.77,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,入間市総合クリーンセンター,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),4374,728,無し,728,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,入間市清掃事業所,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),,,無し,,粗大ごみ・資源ごみ,圧縮,休止,機能なし
bulky_waste,朝霞市粗大ごみ処理施設,"[139.593735, 35.797188]",埼玉県朝霞市,朝霞市(埼玉県),2787.42,1944.55,無し,1944.55,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,和光市清掃センター,"[139.605835, 35.781387]",埼玉県和光市,和光市(埼玉県),3637,2327.19,無し,2327.19,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
bulky_waste,桶川市粗大ごみ処理施設,"[139.55838, 36.002766]",埼玉県桶川市,桶川市(埼玉県),739,167,無し,167,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,三郷市不燃物処理場,"[139.872284, 35.830151]",埼玉県三郷市,三郷市(埼玉県),886,357,無し,357,粗大ごみ・不燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,坂戸市東清掃センター粗大ごみ処理施設,"[139.441193, 35.952766]",埼玉県坂戸市東坂戸,坂戸市(埼玉県),2913,611,無し,611,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,幸手市ひばりヶ丘桜泉園,"[139.725845, 36.078056]",埼玉県幸手市,幸手市(埼玉県),1435,340,無し,340,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,吉川市環境センター粗大ごみ処理施設,"[139.855652, 35.89595]",埼玉県吉川市,吉川市(埼玉県),1907,890,無し,890,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,蓮田白岡衛生組合粗大ごみ処理施設,"[139.66214, 35.99435]",埼玉県蓮田市,蓮田白岡衛生組合(埼玉県),2322,879,無し,879,粗大ごみ・不燃ごみ・資源ごみ,併用,,修理・展示・販売・譲渡
bulky_waste,久喜宮代清掃センター30t／5h粗大ごみ処理施設,"[139.666946, 36.062222]",埼玉県久喜市,久喜宮代衛生組合(埼玉県),1223,404,無し,404,粗大ごみ・不燃ごみ・その他,破砕,,機能なし
bulky_waste,八甫清掃センター粗大ごみ処理施設,"[139.69136, 36.09634]",埼玉県久喜市八甫,久喜宮代衛生組合(埼玉県),1483,666,無し,666,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,銚子市清掃センター(粗大ごみ処理施設),"[140.848953, 35.732414]",千葉県銚子市清水町,銚子市(千葉県),0,0,無し,0,粗大ごみ・不燃ごみ,併用,廃止,機能なし
bulky_waste,市川市クリーンセンター(不燃・粗大ごみ処理施設),"[139.931061, 35.721855]",千葉県市川市,市川市(千葉県),5152,1696,無し,1696,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,船橋市西浦資源リサイクル施設,"[139.966797, 35.692257]",千葉県船橋市西浦,船橋市(千葉県),7863.8,1696.34,無し,1696.34,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,木更津市クリーンセンター,"[139.924896, 35.381248]",千葉県木更津市,木更津市(千葉県),2846,627,有り,627,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,松戸市日暮クリーンセンター,"[139.963226, 35.786293]",千葉県松戸市日暮,松戸市(千葉県),9494,4877,無し,4877,粗大ごみ・不燃ごみ,圧縮,,機能なし
bulky_waste,旭市クリーンセンター粗大ごみ処理施設,"[140.648178, 35.716034]",千葉県旭市,旭市(千葉県),,,,,,,廃止,
bulky_waste,柏市清掃工場粗大ごみ処理施設,"[139.975937, 35.867508]",千葉県柏市,柏市(千葉県),8287,599,無し,599,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,市原市福増クリーンセンター第一粗大ごみ処理施設,"[140.139389, 35.475063]",千葉県市原市福増,市原市(千葉県),221,,無し,,粗大ごみ,併用,,機能なし
bulky_waste,市原市福増クリーンセンター第二粗大ごみ処理施設,"[140.139389, 35.475063]",千葉県市原市福増,市原市(千葉県),8621,2889,無し,2889,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,流山市クリーンセンターリサイクルプラザ・リサイクル館,"[139.90274, 35.856285]",千葉県流山市,流山市(千葉県),9612,3800,無し,3800,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,修理・展示・販売
bulky_waste,八千代市粗大ごみ処理施設,"[140.099731, 35.7225]",千葉県八千代市,八千代市(千葉県),1247,94,無し,94,粗大ごみ,併用,,機能なし
bulky_waste,我孫子市粗大ごみ処理施設,"[140.028336, 35.864166]",千葉県我孫子市,我孫子市(千葉県),1627,355,無し,355,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,君津市粗大ごみ処理施設,"[139.902496, 35.330555]",千葉県君津市,君津市(千葉県),0,0,無し,0,粗大ごみ,併用,休止,機能なし
bulky_waste,浦安市クリーンセンター(ごみ処理施設),"[139.901978, 35.65316]",千葉県浦安市,浦安市(千葉県),3768,914,無し,914,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,四街道市クリーンセンター粗大ごみ処理施設,"[140.167969, 35.669819]",千葉県四街道市,四街道市(千葉県),2276,270,無し,270,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,袖ヶ浦市クリーンセンター粗大ごみ処理施設,"[139.954453, 35.429874]",千葉県袖ケ浦市,袖ケ浦市(千葉県),2921,1835,無し,1835,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
bulky_waste,酒々井リサイクル文化センター粗大ごみ処理施設,"[140.269562, 35.724865]",千葉県印旛郡酒々井町,佐倉市、酒々井町清掃組合(千葉県),6016,2650,無し,2650,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,東金市外三市町環境クリーンセンター(粗大ごみ処理施設),"[140.366119, 35.559998]",千葉県東金市,東金市外三市町清掃組合(千葉県),2058,691,無し,691,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,印西クリーンセンター,"[140.145798, 35.832336]",千葉県印西市,印西地区環境整備事業組合(千葉県),2730,837,無し,837,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,立川市総合リサイクルセンター,"[139.407776, 35.71389]",東京都立川市,立川市(東京都),9781,7485,無し,7485,粗大ごみ・不燃ごみ・その他・資源ごみ,圧縮,,修理・展示・販売
bulky_waste,青梅市リサイクルセンター(破砕選別処理施設),"[139.275848, 35.787956]",東京都青梅市,青梅市(東京都),10270,8264,無し,8264,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,修理・展示・販売
bulky_waste,昭島市環境コミュニケーションセンター,"[139.353607, 35.705673]",東京都昭島市,昭島市(東京都),2666,1254,無し,1254,粗大ごみ・不燃ごみ,破砕,,修理・展示・譲渡
bulky_waste,町田市バイオエネルギーセンター,"[139.438644, 35.546604]",東京都町田市,町田市(東京都),2241,469,無し,469,粗大ごみ・不燃ごみ,破砕,新設（新規稼働）,修理・展示・販売
bulky_waste,小金井市中間処理場,"[139.518555, 35.697956]",東京都小金井市中町,小金井市(東京都),4754,2960,無し,2960,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,日野市クリーンセンター粗大ごみ処理施設,"[139.395004, 35.671391]",東京都日野市,日野市(東京都),0,0,無し,0,粗大ごみ・不燃ごみ,破砕,休止,機能なし
bulky_waste,国分寺市清掃センター,"[139.463272, 35.71035]",東京都国分寺市,国分寺市(東京都),6878,4782,無し,4782,粗大ごみ・不燃ごみ・資源ごみ,併用,,修理・販売・譲渡
bulky_waste,国立市環境センター,"[139.441391, 35.683968]",東京都国立市,国立市(東京都),5826,5826,無し,5826,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
bulky_waste,福生市リサイクルセンター,"[139.32695, 35.738461]",東京都福生市,福生市(東京都),2796,1825,無し,1825,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,修理・展示・販売
bulky_waste,羽村市リサイクルセンター,"[139.311111, 35.767223]",東京都羽村市,羽村市(東京都),2657,1633,無し,1633,粗大ごみ・不燃ごみ・資源ごみ,併用,,修理・展示・販売・譲渡
bulky_waste,新島村金属圧縮処理場,"[139.256958, 34.377151]",東京都新島村,新島村(東京都),0,,無し,,その他,圧縮,休止,機能なし
bulky_waste,神津島村粗大ゴミ処理場,"[139.134521, 34.20549]",東京都神津島村,神津島村(東京都),613,12,無し,12,粗大ごみ・不燃ごみ・その他,併用,,機能なし
bulky_waste,多摩清掃工場,"[139.446396, 35.636944]",東京都多摩市,多摩ニュータウン環境組合(東京都),4693,1127,無し,1127,粗大ごみ・不燃ごみ,併用,,修理・販売
bulky_waste,鶴見資源化センター,"[139.682388, 35.508492]",神奈川県横浜市鶴見区,横浜市(神奈川県),3775,,無し,,粗大ごみ・可燃ごみ,破砕,,機能なし
bulky_waste,王禅寺処理センター資源化処理施設,"[139.522263, 35.586147]",神奈川県川崎市麻生区王禅寺,川崎市(神奈川県),8267,,無し,,粗大ごみ・資源ごみ,併用,,機能なし
bulky_waste,相模原市北清掃工場粗大ごみ処理施設,"[139.373337, 35.571388]",神奈川県相模原市,相模原市(神奈川県),4827,1146,無し,1146,粗大ごみ,破砕,,機能なし
bulky_waste,鎌倉市今泉クリーンセンター,"[139.570465, 35.340115]",神奈川県鎌倉市今泉,鎌倉市(神奈川県),193,,無し,,粗大ごみ,破砕,,機能なし
bulky_waste,鎌倉市名越クリーンセンター,"[139.546936, 35.319225]",神奈川県鎌倉市,鎌倉市(神奈川県),286,,無し,,粗大ごみ,破砕,,機能なし
bulky_waste,鎌倉市今泉クリーンセンター,"[139.570465, 35.340115]",神奈川県鎌倉市今泉,鎌倉市(神奈川県),63,63,無し,63,粗大ごみ,圧縮,,機能なし
bulky_waste,鎌倉市名越クリーンセンター,"[139.546936, 35.319225]",神奈川県鎌倉市,鎌倉市(神奈川県),95,95,無し,95,粗大ごみ,圧縮,,機能なし
bulky_waste,小田原市リサイクルセンター(不燃性粗大ごみ処理施設),"[139.152222, 35.264725]",神奈川県小田原市,小田原市(神奈川県),3621,3072,無し,3072,粗大ごみ・不燃ごみ,圧縮,,機能なし
bulky_waste,茅ヶ崎市粗大ごみ処理施設,"[139.403687, 35.333874]",神奈川県茅ヶ崎市,茅ヶ崎市(神奈川県),7948,1245,無し,1245,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,逗子市清掃センターじん芥処理場,"[139.580429, 35.295574]",神奈川県逗子市,逗子市(神奈川県),930,225,無し,225,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,厚木市環境センター,"[139.362503, 35.443054]",神奈川県厚木市,厚木市(神奈川県),1296,643,無し,643,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,大和市環境管理センター,"[139.458054, 35.487499]",神奈川県大和市,大和市(神奈川県),2102,940,無し,940,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,南足柄市清掃工場,"[139.100006, 35.320557]",神奈川県南足柄市,南足柄市(神奈川県),291.02,,無し,,粗大ごみ・可燃ごみ,破砕,,機能なし
bulky_waste,箱根町環境センター清掃第1清掃プラント粗大ごみ処理施設,"[139.106949, 35.232388]",神奈川県足柄下郡箱根町,箱根町(神奈川県),1710,264,無し,264,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,愛川町美化プラント,"[139.321671, 35.528889]",神奈川県愛甲郡愛川町,愛川町(神奈川県),1342,431,無し,431,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,湯河原町真鶴町衛生組合粗大ごみ処理施設,"[139.108337, 35.147778]",神奈川県足柄下郡湯河原町,湯河原町真鶴町衛生組合(神奈川県),697,497,無し,497,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,新潟市亀田清掃センター粗大ごみ処理施設,"[139.036545, 37.916077]",新潟県新潟市,新潟市(新潟県),7238,1039,無し,1039,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,新潟市鎧潟クリーンセンター粗大ごみ処理施設,"[139.036545, 37.916077]",新潟県新潟市,新潟市(新潟県),1092,,無し,,粗大ごみ,破砕,,機能なし
bulky_waste,三条市清掃センターリサイクル設備,"[138.96167, 37.636387]",新潟県三条市,三条市(新潟県),861,420,無し,420,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,村上市ごみ処理場　粗大処理施設(エコパークむらかみ),"[139.480011, 38.224163]",新潟県村上市,村上市(新潟県),1750,326.9,有り,326.9,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,津南地域衛生施設組合粗大ごみ処理施設,"[138.652496, 37.014168]",新潟県中魚沼郡津南町,津南地域衛生施設組合(新潟県),48,48,無し,48,資源ごみ,併用,,機能なし
bulky_waste,燕・弥彦総合事務組合環境センター粗大ごみ処理施設,"[138.882095, 37.673161]",新潟県燕市,燕・弥彦総合事務組合(新潟県),1623,701,無し,701,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,新発田広域不燃物処理場,"[139.327103, 37.947952]",新潟県新発田市,新発田地域広域事務組合(新潟県),1566.72,,無し,,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,氷見市不燃物処理センター,"[136.972794, 36.85598]",富山県氷見市,氷見市(富山県),898,109,有り,109,不燃ごみ,破砕,,機能なし
bulky_waste,敦賀市清掃センター,"[136.076767, 35.651669]",福井県敦賀市清水町,敦賀市(福井県),2939.78,543.95,無し,543.95,粗大ごみ,破砕,,展示
bulky_waste,鯖江広域衛生施設組合　鯖江クリーンセンター　粗大ごみ処理施設,"[136.184448, 35.956665]",福井県鯖江市,鯖江広域衛生施設組合(福井県),5316,,無し,,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,富士河口湖町じん芥処理場,"[138.755005, 35.497223]",山梨県南都留郡富士河口湖町,富士河口湖町(山梨県),1098,304,無し,304,粗大ごみ・不燃ごみ・資源ごみ,併用,,展示・譲渡
bulky_waste,甲府・峡東クリーンセンター(リサイクル棟),"[138.568298, 35.662231]",山梨県甲府市,甲府・峡東地域ごみ処理施設事務組合(山梨県),4203,,無し,,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,須坂市粗大ごみ処理施設,"[138.307251, 36.6511]",長野県須坂市,須坂市(長野県),439,224,無し,224,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,軽井沢町じん芥処理場,"[138.596954, 36.348331]",長野県軽井沢町,軽井沢町(長野県),407,188,無し,188,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,高山市資源リサイクルセンター破砕施設,"[137.252243, 36.146049]",岐阜県高山市,高山市(岐阜県),1275.24,0,無し,0,粗大ごみ,破砕,,機能なし
bulky_waste,各務原市北清掃センター,"[136.84848, 35.398621]",岐阜県各務原市,各務原市(岐阜県),3347.34,473.06,有り,473.06,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,山県市クリーンセンター,"[136.781387, 35.506111]",岐阜県山県市,山県市(岐阜県),395,113,無し,113,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,浜松市平和破砕処理センター,"[137.726303, 34.710808]",静岡県浜松市,浜松市(静岡県),10764,1978,無し,1978,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,浜松市浜北清掃センター(切断機),"[137.783157, 34.791546]",静岡県浜松市浜北区,浜松市(静岡県),0,0,無し,0,粗大ごみ,破砕,休止,機能なし
bulky_waste,沼津市清掃プラント破砕処理施設,"[138.863617, 35.095554]",静岡県沼津市,沼津市(静岡県),1200,,無し,,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,三島市粗大ごみ処理施設,"[138.918564, 35.118507]",静岡県三島市,三島市(静岡県),1694,505,無し,505,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
bulky_waste,富士宮市清掃センター,"[138.621613, 35.221977]",静岡県富士宮市,富士宮市(静岡県),3286,1034,無し,1034,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,伊東市御石ヶ沢清掃工場破砕施設,"[139.101944, 34.965832]",静岡県伊東市,伊東市(静岡県),143,7.6,無し,7.6,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,伊東市御石ヶ沢清掃工場圧縮施設,"[139.101944, 34.965832]",静岡県伊東市,伊東市(静岡県),496.83,417.3,無し,417.3,粗大ごみ・不燃ごみ,圧縮,,機能なし
bulky_waste,伊東市御石ヶ沢清掃工場圧縮施設,"[139.101944, 34.965832]",静岡県伊東市,伊東市(静岡県),327.77,275.3,無し,275.3,粗大ごみ・不燃ごみ,圧縮,,機能なし
bulky_waste,裾野市美化センター,"[138.906662, 35.173889]",静岡県裾野市,裾野市(静岡県),293,0,無し,0,粗大ごみ・資源ごみ,併用,,機能なし
bulky_waste,湖西市環境センター,"[137.531647, 34.718472]",静岡県湖西市,湖西市(静岡県),1785,244,無し,244,粗大ごみ・不燃ごみ・可燃ごみ,併用,,機能なし
bulky_waste,函南町リサイクルプラザ,"[138.953339, 35.08889]",静岡県田方郡函南町,函南町(静岡県),1414,248,無し,248,粗大ごみ・不燃ごみ・資源ごみ,併用,,修理
bulky_waste,牧之原市御前崎市広域施設組合粗大ごみ処理施設,"[138.224655, 34.740009]",静岡県牧之原市,牧之原市御前崎市広域施設組合(静岡県),348,348,無し,348,資源ごみ,破砕,,機能なし
bulky_waste,名古屋市愛岐処分場小規模破砕設備,"[136.90657, 35.181438]",愛知県名古屋市,名古屋市(愛知県),644,,無し,,粗大ごみ,破砕,,機能なし
bulky_waste,名古屋市大江破砕工場,"[136.90657, 35.181438]",愛知県名古屋市,名古屋市(愛知県),26322.19,1492.86,無し,1492.86,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,豊橋市資源化センター(再利用施設),"[137.391388, 34.769169]",愛知県豊橋市,豊橋市(愛知県),15755,1574,有り,1574,粗大ごみ・不燃ごみ・その他・可燃ごみ,併用,,機能なし
bulky_waste,一宮市リサイクルセンター,"[136.802979, 35.303837]",愛知県一宮市,一宮市(愛知県),6922,623,無し,623,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,半田市粗大ごみ処理施設,"[136.938004, 34.891808]",愛知県半田市,半田市(愛知県),2584,,無し,,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,春日井市クリーンセンター粗大ごみ処理施設,"[136.972229, 35.247501]",愛知県春日井市,春日井市(愛知県),1626.39,166.63,無し,166.63,粗大ごみ・不燃ごみ・その他,破砕,,機能なし
bulky_waste,犬山市都市美化センター,"[136.944427, 35.378441]",愛知県犬山市,犬山市(愛知県),1315,291,無し,291,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,稲沢市環境センター,"[136.780273, 35.248055]",愛知県稲沢市,稲沢市(愛知県),2996,431,無し,431,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,東海市清掃センター,"[136.902328, 35.022957]",愛知県東海市,東海市(愛知県),1148,266,無し,266,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,知多市清掃センター,"[136.874832, 34.98896]",愛知県知多市清水が丘,知多市(愛知県),2819,429,無し,429,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,常滑武豊衛生組合クリーンセンター粗大ごみ処理施設,"[136.854477, 34.896088]",愛知県常滑市,常滑武豊衛生組合(愛知県),506,166,無し,166,粗大ごみ・不燃ごみ,併用,廃止,機能なし
bulky_waste,知多南部クリーンセンター(リサイクルプラザ),"[136.864761, 34.996532]",愛知県知多郡,知多南部衛生組合(愛知県),910,206,無し,206,粗大ごみ・不燃ごみ・資源ごみ,破砕,,修理・譲渡
bulky_waste,知多南部広域環境センター,"[136.864761, 34.996532]",愛知県知多郡,知多南部広域環境組合(愛知県),334.59,60.43,無し,60.43,粗大ごみ・不燃ごみ,破砕,新設（建設中）・新設（新規稼働）,機能なし
bulky_waste,四日市市クリーンセンター,"[136.624451, 34.965118]",三重県四日市市,四日市市(三重県),4010,31,無し,31,粗大ごみ・不燃ごみ・その他,破砕,,機能なし
bulky_waste,松阪市クリーンセンター,"[136.527618, 34.577972]",三重県松阪市,松阪市(三重県),2777,0,無し,0,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,鈴鹿市不燃物リサイクルセンター,"[136.584213, 34.881855]",三重県鈴鹿市,鈴鹿市(三重県),0,0,無し,0,粗大ごみ・不燃ごみ・資源ごみ,破砕,休止,機能なし
bulky_waste,尾鷲市清掃工場,"[136.190979, 34.070786]",三重県尾鷲市,尾鷲市(三重県),132,,無し,,粗大ごみ,併用,,機能なし
bulky_waste,亀山市破砕粗大ごみ処理施設,"[136.45166, 34.855831]",三重県亀山市,亀山市(三重県),601,264,有り,264,粗大ごみ・資源ごみ,破砕,,機能なし
bulky_waste,亀山市適正処理困難物二軸破砕施設,"[136.45166, 34.855831]",三重県亀山市,亀山市(三重県),3298,,有り,,粗大ごみ・不燃ごみ・可燃ごみ,破砕,,機能なし
bulky_waste,志摩市志摩清掃センター粗大ゴミ処理施設,"[136.785141, 34.266602]",三重県志摩市志摩町越賀,志摩市(三重県),0,0,無し,0,粗大ごみ・不燃ごみ,併用,休止,機能なし
bulky_waste,伊賀南部クリーンセンター,"[136.142258, 34.749832]",三重県伊賀市,伊賀南部環境衛生組合(三重県),2453,450,有り,450,粗大ごみ・不燃ごみ,破砕,,機能なし
